imie,wystapienia_pierwsze,wystapienia_drugie,pochodzenie,opis_html
Monika,376767,163961,greckie,"<b>Monika</b> – <a href=""https://pl.wikipedia.org/wiki/Imi%C4%99"" target=""_blank"" rel=""noopener noreferrer"">imię</a> żeńskie o znaczeniu i pochodzeniu trudnym do objaśnienia. Według niektórych badaczy imię pochodzi od <a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_grecki"" target=""_blank"" rel=""noopener noreferrer"">greckiego</a> słowa „monos” oznaczającego <i>jeden</i>, <i>sam</i>, <i>pojedynczy</i>, <i>jedynak</i> i <i>jedynaczka</i>. Z tego samego rdzenia pochodzą takie słowa jak: <a href=""https://pl.wikipedia.org/wiki/Monogamia"" target=""_blank"" rel=""noopener noreferrer"">monogamia</a>, <a href=""https://pl.wikipedia.org/wiki/Monoteizm"" target=""_blank"" rel=""noopener noreferrer"">monoteizm</a>, monaster (klasztor). Inne źródło podaje, że imię to wywodzi się od <a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_grecki"" target=""_blank"" rel=""noopener noreferrer"">greckiego</a> „monaché”, co znaczy <i>samotna</i>, <i>odosobniona</i>; we <a href=""https://pl.wikipedia.org/wiki/W%C5%82ochy"" target=""_blank"" rel=""noopener noreferrer"">Włoszech</a> zakonnica zwana jest <i>monaca</i>, a w niektórych dialektach wręcz <i>monica</i>."
Aleksandra,390147,116565,,"20&#160;marca, 21&#160;kwietnia, 18&#160;maja, 2&#160;października"
Marta,289122,134853,,Zobacz też:
Danuta,286032,128037,litewskie,"<b>Danuta</b> – <a href=""https://pl.wikipedia.org/wiki/Imi%C4%99"" target=""_blank"" rel=""noopener noreferrer"">imię</a> żeńskie prawdopodobnie pochodzenia litewskiego, od słowa „danutie” (będące połączeniem znaczeń niebo i córka) lub łacińskiego, od słowa „donata” (darowana przez Boga). Może również wywodzić się z południowosłowiańskich imion <b>Dana</b>, <b>Danka</b>, <b>Danica</b>. Oznacza dziecko darowane przez Boga. W Polsce to imię notuje się od XIV w."
Jadwiga,218462,191318,,"<b>Jadwiga</b> – <a href=""https://pl.wikipedia.org/wiki/Imi%C4%99"" target=""_blank"" rel=""noopener noreferrer"">imię</a> żeńskie pochodzenia <a href=""https://pl.wikipedia.org/wiki/J%C4%99zyki_germa%C5%84skie"" target=""_blank"" rel=""noopener noreferrer"">germańskiego</a>, germ. <i>Hadwig</i> lub <i>Hedwig</i>, złożone z elementów <i>Hadu-</i> i <i>-wig</i>, które oba oznaczają „walka”. W Polsce imię to zostało zanotowane po raz pierwszy w <a href=""https://pl.wikipedia.org/wiki/1208"" target=""_blank"" rel=""noopener noreferrer"">1208</a> roku, w formach <i>Hedwiga</i> i <i>Edwiga</i>; innymi pojawiającymi się formami rodzimymi były <i>Hadwiga</i>, <i>Adwiga</i>, <i>Jedwiga</i> i – najpóźniej (1379) – Jadwiga. Uważa się, że imię to pojawiło się w Polsce wraz z małżeństwem <a href=""https://pl.wikipedia.org/wiki/Henryk_I_Brodaty"" target=""_blank"" rel=""noopener noreferrer"">Henryka I Brodatego</a> ze św. Jadwigą Śląską."
Karolina,295011,112417,germanskie,"<b>Karolina</b> – żeński odpowiednik <a href=""https://pl.wikipedia.org/wiki/Imi%C4%99"" target=""_blank"" rel=""noopener noreferrer"">imienia</a> <a href=""https://pl.wikipedia.org/wiki/Karol"" target=""_blank"" rel=""noopener noreferrer"">Karol</a>. Innym żeńskim odpowiednikiem imienia Karol jest <a href=""https://pl.wikipedia.org/wiki/Karola"" target=""_blank"" rel=""noopener noreferrer"">Karola</a>. Imię Karolina jest pochodzenia starogermańskiego, od słowa charal, carl."
Julia,314539,86782,,"15&#160;lutego, 20&#160;lutego, 8&#160;kwietnia, 16&#160;kwietnia, 22&#160;maja, 21&#160;lipca, 27&#160;lipca, 1&#160;października, 10&#160;grudnia"
Natalia,320219,79630,,"<b>Natalia</b> (<a href=""https://pl.wikipedia.org/wiki/%C5%81acina"" target=""_blank"" rel=""noopener noreferrer"">łac.</a>&#160;<em><a href=""https://pl.wikipedia.org/wiki/Dies_natalis"" target=""_blank"" rel=""noopener noreferrer"">Dies natalis</a> Domini</em>, tj. <i>w dniu urodzin <a href=""https://pl.wikipedia.org/wiki/Jezus_Chrystus"" target=""_blank"" rel=""noopener noreferrer"">Pana</a></i>) – <a href=""https://pl.wikipedia.org/wiki/Imi%C4%99"" target=""_blank"" rel=""noopener noreferrer"">imię</a> żeńskie wywodzące się od męskiego imienia <a href=""https://pl.wikipedia.org/wiki/Natal_(imi%C4%99)"" target=""_blank"" rel=""noopener noreferrer"">Natalis</a>. W Polsce to imię jest poświadczane w formie Natalia w XIV wieku. Dawniej nadawane osobom urodzonym w dniach chrześcijańskich świąt <a href=""https://pl.wikipedia.org/wiki/Bo%C5%BCe_Narodzenie"" target=""_blank"" rel=""noopener noreferrer"">Bożego Narodzenia</a>. Patronką imienia jest św.&#160;<a href=""https://pl.wikipedia.org/wiki/Adrian_i_Natalia_z_Nikomedii"" target=""_blank"" rel=""noopener noreferrer"">Natalia z Nikomedii</a>, męczennica."
Dorota,266291,133287,hebrajskie,"6&#160;lutego, 25&#160;czerwca, 7&#160;sierpnia, 5&#160;września"
Beata,278457,120029,,"8 marca, 29&#160;sierpnia, 6&#160;września, 22&#160;grudnia"
